angel sin cos
000 0.00000 1.00000
001 0.01745 0.99985
002 0.03490 0.99939
003 0.05234 0.99863
004 0.06976 0.99756
005 0.08716 0.99619
006 0.10453 0.99452
007 0.12187 0.99255
008 0.13917 0.99027
009 0.15643 0.98769
010 0.17365 0.98481
011 0.19081 0.98163
012 0.20791 0.97815
013 0.22495 0.97437
014 0.24192 0.97030
015 0.25882 0.96593
016 0.27564 0.96126
017 0.29237 0.95630
018 0.30902 0.95106
019 0.32557 0.94552
020 0.34202 0.93969
021 0.35837 0.93358
022 0.37461 0.92718
023 0.39073 0.92050
024 0.40674 0.91355
025 0.42262 0.90631
026 0.43837 0.89879
027 0.45399 0.89101
028 0.46947 0.88295
029 0.48481 0.87462
030 0.50000 0.86603
031 0.51504 0.85717
032 0.52992 0.84805
033 0.54464 0.83867
034 0.55919 0.82904
035 0.57358 0.81915
036 0.58779 0.80902
037 0.60182 0.79864
038 0.61566 0.78801
039 0.62932 0.77715
040 0.64279 0.76604
041 0.65606 0.75471
042 0.66913 0.74314
043 0.68200 0.73135
044 0.69466 0.71934
045 0.70711 0.70711
046 0.71934 0.69466
047 0.73135 0.68200
048 0.74314 0.66913
049 0.75471 0.65606
050 0.76604 0.64279
051 0.77715 0.62932
052 0.78801 0.61566
053 0.79864 0.60182
054 0.80902 0.58779
055 0.81915 0.57358
056 0.82904 0.55919
057 0.83867 0.54464
058 0.84805 0.52992
059 0.85717 0.51504
060 0.86603 0.50000
061 0.87462 0.48481
062 0.88295 0.46947
063 0.89101 0.45399
064 0.89879 0.43837
065 0.90631 0.42262
066 0.91355 0.40674
067 0.92050 0.39073
068 0.92718 0.37461
069 0.93358 0.35837
070 0.93969 0.34202
071 0.94552 0.32557
072 0.95106 0.30902
073 0.95630 0.29237
074 0.96126 0.27564
075 0.96593 0.25882
076 0.97030 0.24192
077 0.97437 0.22495
078 0.97815 0.20791
079 0.98163 0.19081
080 0.98481 0.17365
081 0.98769 0.15643
082 0.99027 0.13917
083 0.99255 0.12187
084 0.99452 0.10453
085 0.99619 0.08716
086 0.99756 0.06976
087 0.99863 0.05234
088 0.99939 0.03490
089 0.99985 0.01745
090 1.00000 0.00000
091 0.99985 -0.01745
092 0.99939 -0.03490
093 0.99863 -0.05234
094 0.99756 -0.06976
095 0.99619 -0.08716
096 0.99452 -0.10453
097 0.99255 -0.12187
098 0.99027 -0.13917
